265, 0.3552, 100.8
266, 0.3552, 101.2
267, 0.3553, 101.5
268, 0.3553, 101.9
269, 0.3554, 102.3
270, 0.3554, 102.6
271, 0.3554, 103.0
272, 0.3555, 103.3
273, 0.3555, 103.7
274, 0.3555, 104.0
275, 0.3555, 104.4
276, 0.3555, 104.7
277, 0.3555, 105.1
278, 0.3556, 105.5
279, 0.3556, 105.8
280, 0.3556, 106.2
281, 0.3556, 106.5
282, 0.3557, 106.9
283, 0.3557, 107.2
284, 0.3557, 107.6
285, 0.3558, 107.9
286, 0.3558, 108.3
287, 0.3558, 108.7
288, 0.3559, 109.0
289, 0.3559, 109.4
290, 0.3559, 109.7
291, 0.3560, 110.1
292, 0.3560, 110.4
293, 0.3560, 110.8
294, 0.3560, 111.1
295, 0.3561, 111.5
296, 0.3561, 111.8
297, 0.3561, 112.2
298, 0.3562, 112.6
299, 0.3562, 112.9
300, 0.3562, 113.3
301, 0.3562, 113.6
302, 0.3563, 114.0
303, 0.3563, 114.3
304, 0.3563, 114.7
305, 0.3564, 115.0
306, 0.3564, 115.4
307, 0.3564, 115.8
308, 0.3564, 116.1
309, 0.3565, 116.5
310, 0.3565, 116.8
311, 0.3565, 117.2
312, 0.3565, 117.5
313, 0.3566, 117.9
314, 0.3566, 118.2
315, 0.3566, 118.6
316, 0.3566, 118.9
317, 0.3567, 119.3
318, 0.3567, 119.6
319, 0.3567, 120.0
320, 0.3567, 120.4
321, 0.3568, 120.7
322, 0.3568, 121.1
323, 0.3568, 121.4
324, 0.3568, 121.8
325, 0.3569, 122.1
326, 0.3569, 122.5
327, 0.3569, 122.8
328, 0.3569, 123.2
329, 0.3569, 123.5
330, 0.3569, 123.9
331, 0.3569, 124.3
332, 0.3569, 124.6
333, 0.3570, 125.0
334, 0.3570, 125.3
335, 0.3570, 125.7
336, 0.3570, 126.0
337, 0.3571, 126.4
338, 0.3571, 126.7
339, 0.3571, 127.1
340, 0.3571, 127.4
341, 0.3571, 127.8
342, 0.3572, 128.2
343, 0.3572, 128.5
344, 0.3572, 128.9
345, 0.3572, 129.2
346, 0.3573, 129.6
347, 0.3573, 129.9
348, 0.3573, 130.3
349, 0.3573, 130.6
350, 0.3573, 131.0
351, 0.3574, 131.3
352, 0.3574, 131.7
353, 0.3574, 132.0
354, 0.3574, 132.4
355, 0.3575, 132.8
356, 0.3575, 133.1
357, 0.3575, 133.5
358, 0.3575, 133.8
359, 0.3575, 134.2
360, 0.3576, 134.5
